[2026-05-26T19:47:27.944Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/audit/rules/index.js?v=8c056afb → 200 (8ms, 7299B)
[2026-05-26T19:47:27.944Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/audit/ui/audit-list-item.js?v=8c056afb → 200 (9ms, 17688B)
[2026-05-26T19:47:27.944Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/audit/ui/audit-list-window.js?v=8c056afb → 200 (9ms, 54544B)
[2026-05-26T19:47:27.944Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/audit/ui/audit-ui.js?v=8c056afb → 200 (9ms, 28504B)
[2026-05-26T19:47:27.944Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/window.js?v=8c056afb → 200 (11ms, 20160B)
[2026-05-26T19:47:27.944Z] GET http://localhost:4321/node_modules/html-escaper/esm/index.js?v=8c056afb → 200 (11ms, 13364B)
[2026-05-26T19:47:27.944Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/icons.js?v=8c056afb → 200 (14ms, 277481B)
[2026-05-26T19:47:27.944Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/utils/icons.js?v=8c056afb → 200 (14ms, 5902B)
[2026-05-26T19:47:27.944Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/badge.js?v=8c056afb → 200 (16ms, 17172B)
[2026-05-26T19:47:27.944Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/button.js?v=8c056afb → 200 (17ms, 26819B)
[2026-05-26T19:47:27.944Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/card.js?v=8c056afb → 200 (17ms, 20603B)
[2026-05-26T19:47:27.944Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/highlight.js?v=8c056afb → 200 (17ms, 22416B)
[2026-05-26T19:47:27.944Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/icon.js?v=8c056afb → 200 (17ms, 5971B)
[2026-05-26T19:47:27.944Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/select.js?v=8c056afb → 200 (17ms, 18569B)
[2026-05-26T19:47:27.944Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/toggle.js?v=8c056afb → 200 (17ms, 19596B)
[2026-05-26T19:47:27.944Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/tooltip.js?v=8c056afb → 200 (18ms, 24028B)
[2026-05-26T19:47:27.944Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/radio-checkbox.js?v=8c056afb → 200 (23ms, 17056B)
[2026-05-26T19:47:27.950Z] GET http://localhost:4321/src/components/animations/BlurText.tsx → 200 (132ms, 7409B)
[2026-05-26T19:47:27.950Z] GET http://localhost:4321/node_modules/.vite/deps/@astrojs_react_client__js.js?v=1f20272c → 200 (19ms, 5052B)
